Review,Sentiment
I love the Da Vinci Code.,1
The Da Vinci Code really is an awesome book and you should all go get it,1
"I loved The Da Vinci Code, and I thought Angels & Demons was pretty good",1
i totally love the Da Vinci Code and i CA N'T wait until the movie!,1
"Personally I loved The Da Vinci Code, its a great thriller.",1
I love the Da Vinci Code.....,1
' The Da Vinci Code'it was AWESOME.,1
and the da vinci code is an awesome book!,1
da vinci code is an awesome book..,1
The Da Vinci Code is AWESOME!.,1
I loved the da vinci code.,1
I loved the da Vinci Code-very interesting to think about things from a,1
Da Vinci Code is a friggin awesome book.,1
"And the Da Vinci code is AMAZING, 30 pages left to go.",1
+ love undercover 3 + The Da Vinci Code....,1
outta all three i just loved the da vinci code.,1
oh I love the book The Da VInci Code!,1
"besides drowining myself in the Da Vinci Code -- which, by the way, was",1
da vinci code is so awesome.,1
and Da Vinci Code was so awesome already).,1
The Da Vinci Code was AWESOME.,1
"So, the Da Vinci code was AWESOME...",1
I loved the Da Vinci Code.,1
"Well the Da Vinci Code, was Awesome!",1
i really loved the da vinci code.,1
The book da vinci code is awesome.,1
"i saw the da vinci code, which was awesome.",1
And I love the Da Vinci Code(,1
i know i loved the da vinci code too!!!,1
Da Vinci code was awesome!!!,1
"lynn and jon at the theaters for da vinci code-other than that, EVERYONE",1
The Da Vinci Code was an awesome movie.,1
"also, the da vinci code is AWESOME.",1
* gasp * I LOVE the Da Vinci Code!!,1
"As for movies, The Da Vinci Code was awesome and all of the protests aga",1
The Da Vinci Code is like one of the AWESOMEST books!!!,1
"As sad as it may be that I am now dating my sister, I enjoyed our time t",1
just because the da vinci code is awesome doesn't mean jesus can't be th,1
DA VINCI CODE WAS AWESOME!!!!!..,1
Da Vinci Code is an awesome movie.,1
The Da Vinci Code was AWESOME.,1
Da vinci Code is one beautiful movie..,1
I love Da Vinci Code.,1
"Beyond the Da Vinci Code is a beautiful tome -- unauthorized, of course",1
I actually loved Da Vinci Code.,1
I saw both Da Vinci Code and X-Men 3 The Last Stand on the day they came,1
i loved the da vinci code...,1
"I agree with you, I loved Da Vinci Code, I just think it's ridiculous fo",1
the da vinci code was awesome lah!,1
Da Vinci Code was AWESOME..,1
I'd love to watch The Da Vinci Code soon.,1
Its hard to decide on what move ti see when there are 2 good ones playin,1
"i read that book "" angels and demons "" and i got hooked so i finished in",1
oh and i loved the da vinci code.,1
"Back in Melbourne, Mom and I went to see Da Vinci Code, which was totall",1
hahash i love da vinci code tooo!!,1
The Da Vinci Code was awesome.,1
"da vinci code was also awesome, but thats a given, tom hanks is in it af",1
I loved The Da Vinci Code!!,1
I loved The Da Vinci Code!,1
i loved the da vinci code was a kick ass movie...,1
"Then we went to the movies and saw The Da Vinci Code which honestly, was",1
"i loved the da Vinci code, even though it was the second book in the ser",1
The Da Vinci Code was awesome in my opinion -- the book and the movie.,1
"I loved the Da Vinci Code, both the book and the movie.",1
the da vinci code was sooo awesome-good luck at ur tennis tournament..,1
The Da Vinci Code was AWESOME!!,1
I love hating America almost as much as I love supporting the Da Vinci C,1
Da Vinci Code was awesome.,1
i luv the book'da vinci code '....,1
da vinci code was awesome..,1
Da Vinci Code was awesome.,1
i loved the da vinci code.,1
"Well, Da Vinci Code was awesome....",1
The Da Vinci Code was awesome..,1
"The Da Vinci Code is an awesome book, I just finshed reading it.",1
"The Da Vinci Code was so awesome, I cannot even begin to comprehend nor",1
PS da Vinci code is an awesome movie!.,1
i just love Da Vinci Code so much!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
the people who are worth it know how much i love the da vinci code.,1
I wanted desperately to love'The Da Vinci Code as a film.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
The Da Vinci Code was absolutely AWESOME!,1
da vinci code was an awesome movie...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code is awesome..,1
The Da Vinci Code is awesome!!,1
Love luv lubb the Da Vinci Code!,1
